Long,Lat,
14.582900,-90.556015,
14.582623,-90.555328,
14.583686,-90.556118,
14.584198,-90.555098,
14.584732,-90.555367,
14.584470,-90.554630,Mural Beso a Ciegas
14.584345,-90.553728,
14.584504,-90.553167,
14.584997,-90.554039,
14.585415,-90.554061,
14.584781,-90.552752,
14.584400,-90.552567,
14.584883,-90.552239,
14.585494,-90.553304,
14.585778,-90.554181,
14.586277,-90.553615,
14.585633,-90.552416,
14.585736,-90.551919,
14.586328,-90.552290,
14.586850,-90.554200,T-7 Ingeniería
14.586998,-90.553920,
14.587040,-90.553010,Hormigas Metálicas
14.586709,-90.553246,
14.586501,-90.552902,
14.586887,-90.552635,
14.587850,-90.553870,Legado Mural
14.588060,-90.549410,Santa Apolonia
14.588300,-90.548200,Mosaico Escudo Universitario
14.587890,-90.548310,Mural Deportivo
14.587843,-90.553215,
14.587716,-90.552506,
14.587055,-90.552011,
14.588585,-90.552813,
14.588871,-90.553201,
14.588185,-90.552118,
14.587721,-90.551772,Plaza de los Mártires
14.588368,-90.551662,Rectoría USAC
14.589068,-90.551587,
14.587354,-90.551394,
14.588538,-90.550960,
14.587006,-90.551067,
14.587499,-90.550622,
14.587816,-90.550498,
14.587271,-90.550251,
14.586233,-90.550357,
14.586253,-90.550015,
14.587883,-90.549854,
14.588407,-90.549436,
14.588310,-90.549272,
14.588649,-90.548471,
14.587329,-90.548767,
14.587103,-90.548947,
14.586534,-90.548948,
14.588058,-90.548068,
14.588293,-90.546545,
14.587392,-90.549542,
